priority,status,score,entity_id,entity_type,canonical_name,description_words,connected_statements,required_statements,evidenced_statements,gaps
P2,substantial,91.2,01a010d9-28ca-7a47-87fb-3f3849187439,vehicle,Toyota Mirai — First Generation,69,3,4,3,connected_statements<4
P4,catalog,0,d5d014e0-f131-77b3-a041-36729993c1ac,vehicle,Toyota Prius Concept,24,0,4,0,editorial_promotion_required
P2,substantial,82.5,01a01028-544e-7c04-ae41-69a0fc8dcd4d,vehicle,Toyota Prius Concept (1995),66,2,4,2,connected_statements<4
P3,complete,100.0,01a01028-544e-7aca-8c56-74c80e705fcd,vehicle,Toyota Prius — First Generation,80,4,4,4,
P3,complete,100.0,cf88c6c1-696b-75da-98a9-dbf6d096105c,vehicle,Veículo Delamare-Deboutteville–Malandin,36,4,4,4,
P3,complete,100.0,589cf0f6-e5d2-7fd4-b158-a5608ce1e7b4,vehicle,Veículo experimental de Rivaz,40,4,4,4,
P4,catalog,0,cba36cd2-1707-7a0d-9945-a4d96e023ff4,vehicle,Volkswagen 1-Litre Car,28,0,4,0,editorial_promotion_required
P2,substantial,91.2,01a010d9-28c3-79a7-b864-a634aeb7f8d6,vehicle,Volkswagen Beetle / Type 1,70,3,4,3,connected_statements<4
P3,complete,100.0,01a010d9-28c8-750f-adf3-f48d344020e5,vehicle,Volkswagen Golf — First Generation,75,4,4,4,
P4,catalog,0,d66f8626-b077-7053-9745-53317cfa3b25,vehicle,Volkswagen W12,61,1,4,1,editorial_promotion_required
P2,substantial,91.2,01a010f1-7e89-7097-811b-4535048cf1a3,vehicle,Volvo PV544,43,3,4,3,connected_statements<4
P4,catalog,0,11566c17-4906-7451-8de7-2a2c53cad144,vehicle,Volvo VESC,27,0,4,0,editorial_promotion_required
P3,complete,100,01a01028-5453-7900-8694-2766fd617abc,vehicle,ŠKODA 1000 MB,45,5,4,5,
P2,substantial,82.5,01a01028-5455-70c8-9212-e958618f90e8,vehicle_instance,Holden Prototype No. 1,64,2,4,2,connected_statements<4
P2,substantial,82.5,01a010d9-28c4-79e5-9539-a782d65f01ac,vehicle_instance,Land Rover pre-production HUE 166,49,2,4,2,connected_statements<4
P2,substantial,91.2,01a01016-ea4e-747b-9ba4-e560d648e4ef,vehicle_instance,Porsche 917-001,71,3,4,3,connected_statements<4
P2,substantial,91.2,01a01016-ea4e-76dd-8b7e-a38a7a9a1e7e,vehicle_instance,Porsche 917-023,73,3,4,3,connected_statements<4
P2,substantial,91.2,01a01030-3316-7b5e-9acc-d40b8e0d4536,vehicle_instance,Rolls-Royce 40/50 H.P. chassis 60551 'Silver Ghost',82,3,4,3,connected_statements<4
