legacy_id,canonical_uuid,object_kind,source_dataset
p917:clm_000032,01a01016-ea5a-71ad-b0d3-d40b50dfaaf0,claim,p917
p917:clm_000033,01a01016-ea5a-7a0b-92b8-2a26e4900959,claim,p917
p917:clm_000034,01a01016-ea5a-781e-9781-9b5a4320a42b,claim,p917
p917:clm_000035,01a01016-ea5a-7f16-98be-7e42eabac782,claim,p917
p917:clm_000036,01a01016-ea5a-7426-aa82-746cb508f125,claim,p917
p917:clm_000037,01a01016-ea5a-71c2-9809-86f0b53605f5,claim,p917
p917:clm_000038,01a01016-ea5a-7923-8518-c0f3922b7bff,claim,p917
p917:clm_000039,01a01016-ea5a-7218-a2cf-68b70e4bf007,claim,p917
p917:clm_000040,01a01016-ea5a-765a-8638-b7d32e814ecc,claim,p917
p917:clm_000041,01a01016-ea5a-7a31-909b-12ad5da989b9,claim,p917
p917:clm_000042,01a01016-ea5a-738c-8eb3-a1ab9fda2211,claim,p917
p917:clm_000043,01a01016-ea5a-7f58-9b68-9854c7ff4ec8,claim,p917
p917:clm_000044,01a01016-ea5a-7acc-87e9-bb294ce06c80,claim,p917
p917:clm_000045,01a01016-ea5a-7c0e-b3ef-b180c1b9da87,claim,p917
p917:clm_000046,01a01016-ea5a-7d0a-a836-cf74b1f37319,claim,p917
p917:clm_000047,01a01016-ea5a-706c-af88-eecd0f6ed88d,claim,p917
p917:clm_000048,01a01016-ea5a-71e3-bd8f-8457cb611622,claim,p917
p917:clm_000049,01a01016-ea5a-732f-904a-2317ee453f11,claim,p917
p917:clm_000050,01a01016-ea5a-78e4-a5bb-3181290782df,claim,p917
p917:clm_000051,01a01016-ea5a-7b3b-ad3b-6b97dc7cc621,claim,p917
p917:clm_000052,01a01016-ea5a-7dac-8f7b-775e48a8744d,claim,p917
p917:clm_000053,01a01016-ea5a-76e0-87d5-81379efcc8aa,claim,p917
p917:clm_000054,01a01016-ea5a-78c3-8d83-a811394b58c3,claim,p917
p917:clm_000055,01a01016-ea5a-73f1-90a8-05982018880c,claim,p917
p917:clm_000056,01a01016-ea5a-7682-a6b1-aec8ae9c7794,claim,p917
p917:clm_000057,01a01016-ea5a-7238-b104-2c174e8ddb68,claim,p917
p917:clm_000058,01a01016-ea5a-7b8c-9d94-334567e27494,claim,p917
p917:clm_000059,01a01016-ea5a-7456-8ac7-f20a81fc0fd1,claim,p917
p917:clm_000060,01a01016-ea5a-7e57-b5ea-6f540d15d570,claim,p917
p917:clm_000061,01a01016-ea5a-74c6-b634-768d43dec070,claim,p917
p917:clm_000062,01a01016-ea5a-7076-913a-09a061a853cd,claim,p917
p917:clm_000063,01a01016-ea5a-755a-9416-85b1f987c685,claim,p917
p917:clm_000064,01a01016-ea5a-704a-81af-d2dabb4dd93e,claim,p917
p917:clm_000065,01a01016-ea5a-70a6-b918-bd62d27f365d,claim,p917
p917:clm_000066,01a01016-ea5a-75c8-865d-589b1b360c63,claim,p917
p917:clm_000067,01a01016-ea5a-7cce-921b-caed4407e5bf,claim,p917
p917:clm_000068,01a01016-ea5a-7ca0-b2a1-c6335684145f,claim,p917
p917:clm_000069,01a01016-ea5a-79b3-a637-eaa70dd3826e,claim,p917
p917:clm_000070,01a01016-ea5a-732a-8a8d-bfa7dd80b3f6,claim,p917
p917:clm_000071,01a01016-ea5a-7755-ab53-21be6b17cd6e,claim,p917
p917:clm_000072,01a01016-ea5a-7124-9fd9-48719faa36b1,claim,p917
p917:clm_000073,01a01016-ea5a-7b99-a85e-a47ad716db07,claim,p917
p917:clm_000074,01a01016-ea5a-7e3c-a2d8-a333214ba674,claim,p917
p917:clm_000075,01a01016-ea5a-7553-b8da-a7a98e676703,claim,p917
ring:clm_nr_001,01a01016-ea5a-79e6-abdf-19ca90f9d068,claim,ring
ring:clm_nr_002,01a01016-ea5a-7014-9727-5fddd1399967,claim,ring
ring:clm_nr_003,01a01016-ea5b-78f1-be72-4efb6ddb402d,claim,ring
ring:clm_nr_004,01a01016-ea5b-7c1a-8cf3-ff3ef586b40a,claim,ring
ring:clm_nr_005,01a01016-ea5b-7d2c-81fb-e1fadbda8b99,claim,ring
ring:clm_nr_006,01a01016-ea5b-730f-8c62-b7b836cc4251,claim,ring
ring:clm_nr_007,01a01016-ea5b-79e8-80cc-27a0d346eed5,claim,ring
ring:clm_nr_008,01a01016-ea5b-7e32-ba16-c810469f723a,claim,ring
ring:clm_nr_009,01a01016-ea5b-7055-89ae-0518a5a2f786,claim,ring
ring:clm_nr_010,01a01016-ea5b-76d3-a899-982e0a668010,claim,ring
ring:clm_nr_011,01a01016-ea5b-71fa-a71e-d59bcbc3d6dc,claim,ring
ring:clm_nr_012,01a01016-ea5b-7dba-b69b-26fb3259ad84,claim,ring
ring:clm_nr_013,01a01016-ea5b-79e6-9811-5dbfa60a67b1,claim,ring
ring:clm_nr_014,01a01016-ea5b-7ec8-a682-fea43b4c2b62,claim,ring
ring:clm_nr_015,01a01016-ea5b-70e3-969f-58d64ea53f38,claim,ring
ring:clm_nr_016,01a01016-ea5b-7b2b-ae7a-6686b37d0b99,claim,ring
ring:clm_nr_017,01a01016-ea5b-785e-baed-00d6ae6bff61,claim,ring
ring:clm_nr_018,01a01016-ea5b-744c-99fe-46cebc6f2ad7,claim,ring
ring:clm_nr_019,01a01016-ea5b-712a-af62-97564cef331c,claim,ring
ring:clm_nr_020,01a01016-ea5b-7fdc-8fce-beb49c863344,claim,ring
ring:clm_nr_021,01a01016-ea5b-72b9-a314-e37b6b1595ad,claim,ring
ring:clm_nr_022,01a01016-ea5b-7d71-bd9d-12490a739efa,claim,ring
ring:clm_nr_023,01a01016-ea5b-7c95-a2f7-9198ad993930,claim,ring
ring:clm_nr_024,01a01016-ea5b-76c3-8907-9aec777c76c2,claim,ring
